line_num,station_nm_chn,station_cd,station_nm_jpn,station_nm_eng,station_nm,fr_code,lat,lng
04호선,弥阿十字路口,0416,ミアサゴリ,Miasageori,미아사거리,416,37.613292,127.030053
04호선,吉音,0417,キルム,Gireum,길음,417,37.603407,127.025053
04호선,新吉温泉,1760,シンギル・オンチョン,Neunggil,신길온천,454,37.338212,126.765844
04호선,三角地,0428,サムガクチ,Samgakji,삼각지,428,37.534777,126.97311
04호선,诚信女子大学(敦岩),0418,ソンシンヨデイック,Sungshin Women`s Univ.,성신여대입구,418,37.592624,127.016403
04호선,汉城大学,0419,ハンソンデイック,Hansung Univ.,한성대입구,419,37.588458,127.006221
04호선,惠化,0420,ヘファ,Hyehwa,혜화,420,37.582336,127.001844
04호선,东大门,0421,トンデムン,Dongdaemun,동대문,421,37.57142,127.009745
04호선,东大门历史文化公园,0422,トンデムンヨクサムンファゴンウォン,Dongdaemun History  Culture Park,동대문역사문화공원,422,37.565138,127.007896
04호선,忠武路,0423,チュンムロ,Chungmuro,충무로,423,37.561243,126.99428
04호선,明洞,0424,ミョンドン,Myeong-dong,명동,424,37.560989,126.986325
04호선,会贤(南大门市场),0425,フェヒョン,Hoehyeon,회현,425,37.558514,126.978246
04호선,首尔站,0426,ソウルヨク,Seoul Station,서울역,426,37.554648,126.972559
04호선,淑明女子大学(葛月),0427,スクテイック,Sookmyung Women`s Univ.,숙대입구,427,37.54456,126.972106
04호선,古栈,1757,コジャン,Gojan,고잔,451,37.316777,126.823249
04호선,草芝,1758,チョジ,Choji,초지,452,37.320646,126.805913
04호선,安山,1759,アンサン,Ansan,안산,453,37.327082,126.788532
04호선,修理山,1763,スリサン,Surisan,수리산,445,37.349801,126.925365
04호선,山本,1751,サンボン,Sanbon,산본,444,37.358101,126.933274
04호선,大夜味,1752,テヤミ,Daeyami,대야미,446,37.328467,126.917332
04호선,半月,1753,パヌォル,Banwol,반월,447,37.312212,126.903524
04호선,常绿树,1754,サンロッス,Sangnoksu,상록수,448,37.302795,126.866489
04호선,汉阳大学,1755,ハンデアプ,Hanyang Univ. at Ansan,한대앞,449,37.309689,126.85344
04호선,中央,1756,チュンアン,Jungang,중앙,450,37.315941,126.838573
04호선,新龙山,0429,シニョンサン,Sinyongsan,신용산,429,37.52917,126.967894
04호선,二村,0430,イチョン,Ichon,이촌,430,37.522272,126.974345
04호선,铜雀(显忠院),0431,トンジャク,Dongjak,동작,431,37.502971,126.979306
04호선,仁德院,1455,インドグォン,Indeogwon,인덕원,440,37.401553,126.976715
04호선,坪村,1456,ピョンチョン,Pyeongchon,평촌,441,37.394287,126.963883
04호선,凡溪,1457,ポムゲ,Beomgye,범계,442,37.389793,126.950806
04호선,衿井,1458,クムジョン,Geumjeong,금정,443,37.372221,126.943429
04호선,正往,1761,チョンワン,Jeongwang,정왕,455,37.351735,126.742989
04호선,乌耳岛,1762,オイド,Oido,오이도,456,37.362357,126.738714
05호선,曲桥,2551,クブンダリ,Gubeundari,굽은다리,550,37.545477,127.142853
05호선,新亭,2520,シンジョン,Sinjeong,신정,519,37.524997,126.856191
05호선,君子,2545,クンジャ,Gunja,군자,544,37.557121,127.079542
05호선,钟路三街,2535,チョンノサムガ,Jongno 3(sam)-ga,종로3가,534,37.571607,126.991806
05호선,吉洞,2550,キルトン,Gil-dong,길동,549,37.537801,127.140004
05호선,江东,2549,カンドン,Gangdong,강동,548,37.535804,127.132481
05호선,千戶,2548,チョンホ,Cheonho,천호,547,37.538397,127.123572
05호선,广渡口,2547,クァンナル,Gwangnaru,광나루,546,37.545303,127.10357
05호선,青丘,2538,チョング,Cheonggu,청구,537,37.560245,127.013828
05호선,东大门历史文化公园,2537,トンデムンヨクサムンファゴンウォン,Dongdaemun History  Culture Park,동대문역사문화공원,536,37.565138,127.007896
05호선,光化门,2534,クァンファムン,Gwanghwamun,광화문,533,37.571026,126.976669
05호선,西大门,2533,ソデムン,Seodaemun,서대문,532,37.565773,126.966641
05호선,忠正路,2532,チュンジョンノ,Chungjeongno,충정로,531,37.559973,126.963672
05호선,永登浦区厅,2524,ヨンドゥンポグチョン,Yeongdeungpo-gu Office,영등포구청,523,37.52497,126.895951
05호선,新吉,2526,シンギル,Singil,신길,525,37.517122,126.917169
05호선,峨嵯山,2546,アチャサン,Achasan,아차산,545,37.551691,127.089761
05호선,马场,2542,マジャン,Majang,마장,541,37.5661,127.042973
05호선,傍花,2511,パンファ,Banghwa,방화,510,37.577446,126.812741
05호선,麻谷,2515,マゴク,Magok,마곡,514,37.560183,126.825448
05호선,钵山,2516,パルサン,Balsan,발산,515,37.558598,126.837668
05호선,雨装山,2517,ウジャンサン,Ujangsan,우장산,516,37.548768,126.836318
05호선,喜鹊山,2519,カチサン,Kkachisan,까치산,518,37.531768,126.846683
05호선,巨余,2560,コヨ,Geoyeo,거여,P554,37.493105,127.14415
05호선,新金湖,2539,シングムホ,Singeumho,신금호,538,37.554548,127.020331
05호선,马川,2561,マチョン,Macheon,마천,P555,37.49499,127.152781
05호선,往十里,2541,ワンシムニ,Wangsimni,왕십리,540,37.561533,127.037732
05호선,杏堂,2540,ヘンダン,Haengdang,행당,539,37.557322,127.029476
05호선,禾谷,2518,ファゴク,Hwagok,화곡,517,37.541513,126.840461
05호선,汝矣岛,2527,ヨイド,Yeouido,여의도,526,37.521624,126.924191
05호선,麻浦,2529,マポ,Mapo,마포,528,37.539574,126.945932
05호선,永登浦市场,2525,ヨンドゥンポシジャン,Yeongdeungpo Market,영등포시장,524,37.522669,126.905139
05호선,开笼,2559,ケロン,Gaerong,개롱,P553,37.498079,127.13482
05호선,梧琴,2558,オグム,Ogeum,오금,P552,37.502162,127.128111
05호선,汝矣渡口,2528,ヨイナル,Yeouinaru,여의나루,527,37.527098,126.932901
05호선,芳荑,2557,パンイ,Bangi,방이,P551,37.508857,127.126133
05호선,踏十里,2543,タプシムニ,Dapsimni,답십리,542,37.566747,127.052704
05호선,奥林匹克公园,2556,オリンピックゴンウォン,Olympic Park,올림픽공원,P550,37.516078,127.130848
05호선,遁村洞,2555,トゥンチョンドン,Dunchon-dong,둔촌동,P549,37.527788,127.136248
05호선,杨坪,2523,ヤンピョン,Yangpyeong,양평,522,37.525648,126.885778
05호선,梧木桥,2522,オモッキョ,Omokgyo,오목교,521,37.524496,126.875181
05호선,木洞,2521,モクトン,Mok-dong,목동,520,37.526065,126.864931
05호선,乙支路四街,2536,ウルチロサガ,Euljiro 4(sa)-ga,을지로4가,535,37.566941,126.998079
05호선,孔德,2530,コンドク,Gongdeok,공덕,529,37.544018,126.951592
05호선,儿岭,2531,エオゲ,Aeogae,애오개,530,37.553736,126.95682
05호선,开花山,2512,ケファサン,Gaehwasan,개화산,511,37.572399,126.806171
05호선,金浦机场,2513,キンポゴンハン,Gimpo Intl. Airport,김포공항,512,37.562434,126.801058
05호선,松亭,2514,ソンジョン,Songjeong,송정,513,37.561184,126.811973
05호선,长汉坪,2544,チャンハンピョン,Janghanpyeong,장한평,543,37.56144,127.064623
05호선,上一洞,2554,サンイルトン,Sangil-dong,상일동,553,37.556712,127.166417
05호선,高德,2553,コドク,Godeok,고덕,552,37.555004,127.154151
05호선,明逸,2552,ミョンイル,Myeongil,명일,551,37.55137,127.143999
06호선,梨泰院,2631,イテウォン,Itaewon,이태원,630,37.534488,126.994302
06호선,龟山,2616,クサン,Gusan,구산,615,37.611377,126.91727
06호선,赛折,2617,セジョル,Saejeol,새절,616,37.591148,126.913629
06호선,瓮岩,2614,トッパウィ,Dokbawi,독바위,613,37.618456,126.933031
06호선,佛光,2613,プルグァン,Bulgwang,불광,612,37.610469,126.929887
06호선,合井,2623,ハプチョン,Hapjeong,합정,622,37.549463,126.913739
06호선,鹰岩,2611,ウンアム,Eungam,응암,610,37.598605,126.915577
06호선,昌信,2638,チャンシン,Changsin,창신,637,37.579661,127.015241
06호선,普门,2639,ポムン,Bomun,보문,638,37.585286,127.019381
06호선,安岩,2640,アナム,Anam,안암,639,37.586272,127.029005
06호선,驿村,2612,ヨクチョン,Yeokchon,역촌,611,37.606021,126.922744
06호선,孔德,2627,コンドク,Gongdeok,공덕,626,37.544018,126.951592
06호선,大兴,2626,テフン,Daeheung,대흥,625,37.547771,126.942069
06호선,麻浦区厅,2621,マポグチョン,Mapo-gu Office,마포구청,620,37.563515,126.903343
06호선,高丽大学,2641,コリョデ,Korea Univ.,고려대,640,37.590508,127.036296
06호선,月谷,2642,ウォルゴク,Wolgok,월곡,641,37.601948,127.041518
06호선,花郞台,2647,ファランデ,Hwarangdae,화랑대,646,37.620064,127.084689
06호선,烽火山,2648,ポンファサン,Bonghwasan,봉화산,647,37.617283,127.091401
06호선,新內,2649,シンネ,Sinnae,신내,648,37.612887,127.103218
06호선,泰陵,2646,テルンイック,Taereung,태릉입구,645,37.617983,127.07512
06호선,石溪,2645,ソッケ,Seokgye,석계,644,37.614805,127.065851
06호선,药水,2634,ヤッス,Yaksu,약수,633,37.55434,127.010655
06호선,青丘,2635,チョング,Cheonggu,청구,634,37.560245,127.013828
06호선,新堂,2636,シンダン,Sindang,신당,635,37.565972,127.01782
06호선,东庙,2637,トンミョアプ,Dongmyo,동묘앞,636,37.572627,127.016429
06호선,波堤岭,2633,ポティゴゲ,Beotigogae,버티고개,632,37.548013,127.007055
06호선,汉江镇,2632,ハンガンジン,Hangangjin,한강진,631,37.539631,127.001725
06호선,延新川,2615,ヨンシンネ,Yeonsinnae,연신내,614,37.619001,126.921008
06호선,绿莎坪,2630,ノッサピョン,Noksapyeong,녹사평,629,37.534675,126.986695
06호선,三角地,2629,サムガクチ,Samgakji,삼각지,628,37.534777,126.97311
06호선,孝昌公园,2628,ヒョチャンゴンウォンアプ,Hyochang park,효창공원앞,627,37.539261,126.961351
06호선,广兴仓,2625,クァンフンチャン,Gwangheungchang,광흥창,624,37.547456,126.931993
06호선,上水,2624,サンス,Sangsu,상수,623,37.547716,126.922852
06호선,望远,2622,マンウォン,Mangwon,망원,621,37.556094,126.910052
06호선,世界杯体育场,2620,ワールドカップ・キョンギジャン,World Cup Stadium,월드컵경기장,619,37.569532,126.899298
06호선,数码媒体城,2619,デジタルメディアシティ,Digital Media City,디지털미디어시티,618,37.576646,126.900984
06호선,缯山,2618,チュンサン,Jeungsan,증산,617,37.583876,126.909645
06호선,石串,2644,トルゴジ,Dolgoji,돌곶이,643,37.610537,127.056431
06호선,上月谷,2643,サンウォルゴク,Sangwolgok,상월곡,642,37.606377,127.048491
